,poverty,ave_household_size,p_highschool_plus,p_bachelors_plus,p_native_born,p_unemployed,p_occ_business_science_art,p_occ_service,p_occ_sales_office,p_occ_resources_construction,p_occ_production_transport,med_household_income,mean_household_income,p_household_owner_occupied,p_household_renter_occupied,p_grapi_15,p_grapi_15-19.9,p_grapi_20-24.9,p_grapi_25-29.9,p_grapi_30-34.9,p_grapi_35,total_pop,p_race_white,p_race_black,p_race_am_indian,p_race_asian,p_race_nat_hawaiian_pac_islander,p_race_other,p_race_hispanic
1,1.0,2.46,79.1,13.4,99.5,6.6,27.7,14.2,24.6,5.1,28.3,40724.0,56368.0,68.6,31.4,21.5,9.4,13.7,16.7,6.0,32.6,2594,57.7,42.5,0.6,0.0,0.0,0.5,4.5
2,1.0,2.73,83.5,14.6,99.8,10.4,28.4,15.6,32.1,6.1,17.8,49077.0,61459.0,77.1,22.9,23.6,12.4,11.5,1.4,7.5,43.5,4404,48.0,52.7,0.0,0.0,0.0,0.2,0.2
3,1.0,2.14,85.1,18.4,100.0,7.7,21.3,18.6,14.8,19.0,26.2,35250.0,47318.0,67.6,32.4,22.6,0.0,21.5,9.7,0.0,46.2,725,99.6,0.0,5.5,0.0,0.0,0.0,0.0
4,1.0,2.85,62.8,3.1,100.0,22.0,5.2,35.4,7.3,10.4,41.7,19821.0,23781.0,66.4,33.6,0.0,100.0,0.0,0.0,0.0,0.0,318,22.0,78.0,0.0,0.0,0.0,0.0,0.0
5,0.0,2.97,88.8,34.8,93.9,4.4,41.2,13.9,25.8,9.5,9.6,74383.0,84011.0,82.7,17.3,12.6,19.6,21.4,13.7,4.8,28.0,32567,76.2,15.4,0.6,1.6,0.2,8.4,10.1
6,1.0,2.94,76.2,12.8,85.3,3.1,23.6,11.4,24.4,13.8,26.8,37619.0,53893.0,60.4,39.6,15.5,17.9,5.9,13.4,10.9,36.4,21342,93.5,3.6,0.3,0.7,0.0,2.9,29.1
7,1.0,2.42,81.0,15.5,97.1,11.6,28.9,19.6,15.3,8.8,27.4,32337.0,47412.0,57.5,42.5,15.3,10.4,13.1,9.4,7.7,44.0,14705,60.1,36.4,0.4,1.2,0.0,2.8,5.1
8,0.0,2.74,87.3,20.9,98.9,8.1,40.0,17.0,19.2,10.0,13.7,70656.0,76176.0,83.4,16.6,14.0,33.5,8.5,0.0,8.5,35.6,4202,91.6,8.0,0.4,0.0,0.0,0.0,1.5
9,1.0,2.54,66.9,13.4,99.8,20.3,18.5,32.7,18.9,10.0,19.9,24097.0,33573.0,48.4,51.6,8.3,7.0,1.8,15.3,15.6,51.9,2466,23.7,77.0,0.8,0.7,0.0,0.0,0.6
10,1.0,2.82,47.9,2.8,78.2,2.4,19.3,9.5,18.5,30.9,21.8,40469.0,44204.0,55.3,44.7,52.9,0.0,13.8,11.5,0.0,21.8,606,93.4,3.3,2.8,0.0,0.0,4.1,52.8
11,0.0,2.4,79.3,7.3,99.7,0.0,23.4,16.0,32.2,4.1,24.2,38438.0,44193.0,53.1,46.9,17.9,16.6,16.6,16.6,2.8,29.7,861,98.3,1.2,2.1,0.9,0.0,0.0,2.7
12,1.0,2.36,84.7,20.9,98.8,11.1,32.8,17.4,22.7,8.3,18.8,36101.0,53340.0,61.3,38.7,19.8,11.0,12.8,12.5,10.8,33.1,8918,72.0,27.0,0.2,1.0,0.0,0.6,2.2
13,1.0,2.42,79.7,11.5,100.0,8.3,25.8,18.2,13.6,21.2,21.2,47000.0,53413.0,71.0,29.0,14.3,0.0,33.3,0.0,4.8,47.6,242,99.2,0.8,0.8,0.0,0.0,0.0,0.0
14,1.0,2.2,81.9,19.9,97.6,13.7,27.9,20.4,23.9,4.7,23.1,32070.0,51038.0,57.1,42.9,16.9,6.7,8.1,12.0,10.4,45.9,22097,48.3,52.2,0.8,2.5,0.1,0.5,2.0
15,1.0,2.62,87.9,24.8,97.6,7.5,38.9,14.1,26.5,7.0,13.5,43884.0,60641.0,67.3,32.7,13.1,14.0,12.8,10.6,12.0,37.4,8200,96.8,1.2,0.8,1.7,0.0,1.0,1.5
16,1.0,2.67,81.0,15.5,99.6,11.9,20.9,24.8,20.7,7.4,26.2,38000.0,45690.0,56.6,43.4,15.2,26.0,12.3,5.4,10.3,30.9,1490,93.0,7.5,2.7,2.2,0.0,0.0,0.6
17,0.0,2.71,90.6,17.2,97.2,2.2,29.5,6.7,28.6,20.1,15.1,61369.0,76067.0,86.9,13.1,32.0,7.3,0.0,0.0,0.0,60.7,4191,97.2,2.5,1.0,0.3,0.0,0.0,1.7
18,1.0,2.97,75.8,13.3,97.9,17.4,23.4,18.2,23.8,12.6,22.0,25909.0,41313.0,66.3,33.8,13.0,5.6,9.3,5.6,16.7,50.0,713,74.2,28.9,0.6,0.7,0.0,2.0,3.2
19,1.0,2.78,77.6,13.9,99.8,14.1,32.3,20.1,22.6,19.5,5.5,31932.0,41934.0,67.4,32.6,14.0,9.3,9.3,9.3,9.3,48.8,519,99.6,0.0,0.2,0.2,0.0,0.0,0.0
20,1.0,2.74,84.7,17.3,99.7,5.3,30.3,17.9,30.3,8.1,13.6,43527.0,62143.0,67.8,32.2,21.1,10.8,15.7,5.9,15.2,31.4,2209,80.2,19.0,1.9,1.4,0.1,0.6,1.7
21,1.0,2.2,74.4,13.5,97.0,10.2,26.8,11.9,17.2,8.4,35.7,27264.0,43417.0,50.8,49.2,11.8,9.3,23.1,19.8,9.5,26.5,2113,78.1,20.0,1.7,0.3,0.0,0.9,3.4
22,1.0,3.12,79.7,10.7,98.1,5.6,27.9,16.3,25.3,12.6,17.8,50776.0,55733.0,86.9,13.1,0.0,22.6,17.0,35.8,0.0,24.5,2424,70.8,30.0,0.2,2.0,0.0,0.3,1.5
23,1.0,2.61,83.7,27.0,95.2,8.8,36.9,19.1,20.7,10.3,13.0,47741.0,71502.0,64.8,35.2,16.2,12.3,11.3,13.5,6.7,40.1,24735,78.8,17.7,2.1,1.7,0.3,1.8,8.0
24,1.0,2.54,75.7,10.3,99.1,19.7,17.4,21.7,30.6,11.7,18.6,28443.0,47237.0,62.6,37.4,10.1,15.1,6.4,11.3,14.6,42.5,9969,43.7,53.8,2.6,0.5,0.5,0.7,0.8
25,0.0,2.58,86.4,12.2,96.1,14.5,26.1,13.2,21.6,8.7,30.4,40375.0,48941.0,60.9,39.1,18.8,23.1,10.5,9.0,5.3,33.3,5884,77.8,23.1,0.3,0.0,1.2,0.6,5.9
26,1.0,2.5,93.6,58.1,90.0,5.3,48.5,19.0,19.9,3.9,8.7,42600.0,70936.0,44.0,56.0,10.8,8.4,10.2,9.0,4.6,57.0,61462,72.9,17.7,0.4,8.2,0.1,1.8,5.0
27,1.0,2.27,62.8,6.0,99.8,10.6,13.4,33.0,11.9,14.0,27.7,25833.0,50644.0,80.7,19.3,30.0,8.3,11.7,13.3,5.0,31.7,903,23.7,74.3,0.0,0.0,0.0,2.0,2.3
28,0.0,2.43,88.1,18.0,99.1,8.6,30.4,20.4,23.0,14.7,11.5,36250.0,61641.0,75.4,24.6,31.8,4.5,6.8,9.1,25.0,22.7,454,94.5,2.2,3.3,0.0,0.0,0.0,2.0
29,0.0,3.18,76.9,27.6,94.0,4.1,27.0,19.9,35.6,7.3,10.2,49915.0,60698.0,80.0,20.0,0.0,29.8,0.0,0.0,70.2,0.0,1336,33.4,60.6,0.0,6.0,0.0,0.0,0.0
30,1.0,2.33,82.5,8.2,100.0,3.2,31.8,5.4,19.7,24.3,18.8,34375.0,48267.0,87.4,12.6,0.0,35.0,10.0,55.0,0.0,0.0,554,100.0,0.0,0.0,0.0,0.0,0.0,1.8
31,1.0,2.82,73.6,10.2,98.6,15.2,19.8,13.2,40.3,13.2,13.6,32989.0,47816.0,71.5,28.5,7.9,50.0,7.9,9.2,7.9,17.1,872,100.0,0.0,0.0,0.0,1.0,0.0,6.3
32,1.0,1.91,70.3,7.7,99.1,10.8,31.9,14.3,16.5,23.1,14.3,30536.0,40190.0,94.3,5.7,80.0,0.0,20.0,0.0,0.0,0.0,235,57.4,42.6,0.0,0.0,0.0,0.0,0.9
33,0.0,3.12,77.6,13.6,100.0,6.3,29.8,16.9,29.0,10.9,13.4,40703.0,56983.0,85.4,14.6,0.0,0.0,0.0,0.0,0.0,100.0,1707,100.0,0.0,3.7,0.0,0.0,0.0,0.0
34,1.0,2.29,85.5,27.6,100.0,0.0,23.6,27.3,16.4,18.2,14.5,38333.0,39988.0,52.1,47.9,0.0,26.3,0.0,26.3,0.0,47.4,110,74.5,25.5,0.0,0.0,0.0,0.0,0.0
35,1.0,2.85,81.6,15.5,97.7,5.0,23.7,23.8,23.0,11.2,18.3,31310.0,47790.0,49.2,50.8,16.1,15.5,10.7,14.3,12.4,31.0,8990,56.2,42.1,0.5,1.0,0.1,1.5,2.5
36,1.0,3.4,60.2,5.6,85.2,1.7,7.6,19.8,14.6,16.6,41.4,40000.0,53936.0,50.8,49.2,18.8,8.3,13.0,0.9,9.6,49.4,2543,57.3,19.7,2.9,26.3,0.0,0.0,8.1
37,1.0,2.54,79.9,6.1,100.0,6.0,18.9,12.8,19.6,18.7,29.9,33029.0,40414.0,79.2,20.8,51.6,6.5,35.5,0.0,6.5,0.0,1185,98.4,1.1,2.0,0.0,0.0,0.0,0.0
38,1.0,2.31,90.2,8.1,100.0,30.3,43.5,14.5,12.9,0.0,29.0,17679.0,30957.0,79.1,20.9,0.0,0.0,83.3,0.0,0.0,16.7,266,21.1,78.9,0.0,0.0,0.0,0.0,0.0
39,0.0,2.1,87.8,11.0,98.8,10.3,35.4,14.6,1.0,8.3,40.6,36250.0,47960.0,85.2,14.8,31.3,0.0,0.0,37.5,0.0,31.3,256,98.4,2.0,0.0,0.0,0.0,0.8,3.1
41,1.0,2.49,59.6,7.2,100.0,7.9,19.0,15.5,13.8,5.2,46.6,24583.0,38566.0,85.9,14.1,0.0,0.0,0.0,0.0,0.0,100.0,247,100.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1.0,1.92,87.1,1.8,100.0,11.1,3.0,34.3,16.0,4.7,42.0,17340.0,23918.0,69.3,30.7,0.0,47.9,0.0,41.7,0.0,10.4,469,19.0,81.0,0.0,0.0,0.0,0.0,0.0
43,1.0,2.83,72.1,12.4,94.5,0.0,44.8,19.9,8.7,14.3,12.2,49886.0,61710.0,86.8,13.2,0.0,0.0,0.0,0.0,0.0,100.0,581,90.9,9.1,0.0,0.0,0.0,0.0,5.5
45,1.0,2.39,70.1,8.4,99.7,13.3,21.0,18.8,16.8,15.1,28.3,25938.0,39073.0,71.9,28.1,10.1,7.0,2.5,29.1,2.5,48.7,1443,95.6,4.3,0.1,0.3,0.0,0.0,0.0
46,1.0,2.47,82.6,13.4,96.4,13.9,21.0,21.5,26.2,12.2,19.2,31308.0,43819.0,55.1,44.9,8.4,9.6,12.8,7.2,9.5,52.6,26697,25.4,71.0,1.0,0.1,0.0,4.2,4.7
