,ave_household_size,median_income,rental_vacancy_rate,p_units_1_detached,p_units_1,p_units_2,p_units_34,p_units_59,p_units_10,p_units_20,p_built_2014,p_built_2010,p_built_2000,p_built_1990,p_built_1980,p_built_1970,p_built_1960,p_built_1950,p_built_1940,p_built_1930,median_rooms,median_rent,median-value
1,2.46,40724.0,26.8,69.7,0.0,11.2,2.3,0.0,3.7,0.9,0.0,0.0,5.4,12.4,12.8,20.1,19.3,10.9,7.6,11.5,5.4,553.0,80200.0
2,2.73,49077.0,3.4,90.9,0.6,0.0,0.0,0.0,1.2,0.0,0.0,0.5,3.0,10.7,7.1,20.5,31.2,13.3,8.3,5.5,5.9,862.0,97100.0
3,2.14,35250.0,0.0,66.0,0.0,7.4,2.7,3.2,0.0,0.8,0.0,0.0,11.2,27.4,12.0,22.3,13.3,6.6,3.5,3.7,5.8,356.0,75100.0
4,2.85,19821.0,0.0,63.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,7.5,19.5,9.0,9.0,5.5,14.5,19.0,14.5,4.7,533.0,38800.0
5,2.97,74383.0,7.2,84.8,3.2,0.6,1.2,2.8,1.4,0.9,0.1,2.0,24.1,35.3,15.5,15.0,4.0,2.3,1.0,0.6,6.6,983.0,167800.0
6,2.94,37619.0,1.7,80.4,0.7,2.2,5.1,4.5,1.4,0.7,0.1,1.3,8.5,16.4,16.1,28.3,15.5,7.4,4.2,2.3,5.8,617.0,114700.0
7,2.42,32337.0,4.1,73.3,0.4,6.7,4.3,5.2,2.4,2.2,2.3,0.5,5.8,15.9,18.2,17.0,12.6,15.7,7.8,4.1,5.4,601.0,105200.0
8,2.74,70656.0,0.0,79.2,0.0,0.0,8.2,0.0,0.0,0.0,0.0,1.7,12.6,31.5,25.0,20.8,1.7,1.1,1.2,4.4,6.3,736.0,120300.0
9,2.54,24097.0,3.1,64.9,1.1,22.6,5.9,2.4,0.0,0.6,0.0,2.5,2.4,8.1,5.5,38.6,17.7,11.3,7.5,6.3,5.7,493.0,102800.0
10,2.82,40469.0,11.9,57.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,8.2,18.0,29.3,15.6,10.2,2.3,4.7,5.1,431.0,94500.0
11,2.4,38438.0,4.2,57.8,0.7,9.5,2.3,16.9,0.7,0.0,0.0,3.5,11.8,13.7,14.2,15.1,18.1,8.6,4.2,10.9,5.0,419.0,79000.0
12,2.36,36101.0,10.0,82.3,0.2,1.4,3.6,8.2,0.6,1.7,0.3,4.2,4.5,12.7,11.5,19.1,18.5,13.5,7.2,8.5,5.6,613.0,110400.0
13,2.42,47000.0,17.1,89.4,0.8,0.8,6.8,0.0,0.0,0.0,1.5,0.0,3.8,12.9,8.3,29.5,17.4,8.3,11.4,6.8,6.1,1038.0,115100.0
14,2.2,32070.0,6.4,73.4,2.8,3.8,4.7,8.2,1.8,4.3,0.0,0.1,5.9,6.3,9.4,17.3,17.0,17.3,15.3,11.5,5.6,605.0,95700.0
15,2.62,43884.0,5.7,78.9,1.0,4.7,4.2,6.4,1.5,1.2,0.2,1.3,11.5,14.9,19.3,20.1,18.5,7.7,3.0,3.5,6.0,564.0,143800.0
16,2.67,38000.0,0.0,80.9,1.3,1.7,7.7,4.5,1.3,0.5,2.7,1.7,19.1,13.1,18.3,19.3,11.1,6.0,6.9,2.0,5.7,735.0,109600.0
17,2.71,61369.0,14.0,70.6,2.3,0.0,0.0,0.0,0.0,0.0,0.8,9.7,36.6,29.0,8.6,3.9,5.1,0.0,6.3,0.0,6.0,442.0,171200.0
